__run_id,__done,_compiler,_benchmark,execution_time,cpu_usage,memory_usage,energy_consumption
run_6_repetition_11,DONE,pure_python,quick_sort,1.601,7.639,8603721.6,38.815
run_26_repetition_14,DONE,swig,quick_sort,0.201,5.324,8585962.667,3.822
run_0_repetition_16,DONE,pure_python,bfs,1.002,6.67,8607736.0,21.852
run_7_repetition_3,DONE,pure_python,regex,0.402,5.254,8583843.0,7.346
run_5_repetition_7,DONE,pure_python,k_means,3.802,7.31,8574876.952,95.273
run_13_repetition_14,DONE,cython,fft,0.2,12.684,8564762.667,3.59
run_5_repetition_8,DONE,pure_python,k_means,3.801,6.957,8579190.286,94.575
run_4_repetition_3,DONE,pure_python,json_bench,1.801,6.35,8609780.364,38.468
run_0_repetition_13,DONE,pure_python,bfs,1.001,5.93,8585776.0,18.595
run_10_repetition_5,DONE,cython,bfs,0.201,4.627,8565578.667,3.379
run_22_repetition_11,DONE,swig,dense_matrix,0.434,13.133,8586463.0,11.933
run_1_repetition_5,DONE,pure_python,convex,4.402,7.794,8582656.0,114.591
run_27_repetition_1,DONE,swig,regex,0.201,5.45,8562270.667,4.788
run_24_repetition_16,DONE,swig,json_bench,1.401,6.322,8600903.111,29.58
run_17_repetition_1,DONE,cython,regex,0.4,6.863,8587058.0,7.426
run_4_repetition_18,DONE,pure_python,json_bench,1.802,6.192,8625122.545,38.123
run_1_repetition_3,DONE,pure_python,convex,4.202,7.071,8646014.261,108.291
run_20_repetition_7,DONE,swig,bfs,0.2,5.097,8608794.667,3.089
run_12_repetition_9,DONE,cython,dense_matrix,0.201,13.449,8580322.667,4.132
run_16_repetition_13,DONE,cython,quick_sort,0.401,7.415,8610147.0,8.813
run_16_repetition_9,DONE,cython,quick_sort,0.401,4.266,8616416.0,6.026
run_14_repetition_2,DONE,cython,json_bench,1.802,7.215,8641972.0,42.7
run_17_repetition_0,DONE,cython,regex,0.401,5.29,8586852.0,7.187
run_7_repetition_11,DONE,pure_python,regex,0.402,5.214,8575268.0,7.584
run_27_repetition_15,DONE,swig,regex,0.201,7.937,8567856.0,3.813
run_18_repetition_13,DONE,cython,sieve,0.201,3.795,8580852.0,1.277
run_28_repetition_9,DONE,swig,sieve,0.2,4.361,8567181.333,1.738
run_15_repetition_0,DONE,cython,k_means,0.201,7.665,8554462.667,3.768
run_26_repetition_8,DONE,swig,quick_sort,0.2,5.212,8574773.333,3.763
run_4_repetition_15,DONE,pure_python,json_bench,1.801,6.846,8609560.0,41.495
